ID;LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;PAY_1;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;DEF
1;20000;2;2;1;24;2;2;-1;-1;-2;-2;3913;3102;689;0;0;0;0;689;0;0;0;0;
7;500000;1;1;2;29;0;0;0;0;0;0;367965;412023;445007;542653;483003;473944;55000;40000;38000;20239;13750;13770;
12;260000;2;1;2;51;-1;-1;-1;-1;-1;2;12261;21670;9966;8517;22287;13668;21818;9966;8583;22301;0;3640;
17;20000;1;1;2;24;0;0;2;2;2;2;15376;18010;17428;18338;17905;19104;3200;0;1500;0;1650;0;
22;120000;2;2;1;39;-1;-1;-1;-1;-1;-1;316;316;316;0;632;316;316;316;0;632;316;0;
28;50000;2;3;2;30;0;0;0;0;0;0;22541;16138;17163;17878;18931;19617;1300;1300;1000;1500;1000;1012;
29;50000;2;3;1;47;-1;-1;-1;-1;-1;-1;650;3415;3416;2040;30430;257;3415;3421;2044;30430;257;0;
41;360000;1;1;2;33;0;0;0;0;0;0;218668;221296;206895;628699;195969;179224;10000;7000;6000;188840;28000;4000;
45;40000;2;1;2;30;0;0;0;2;0;0;18927;21295;25921;25209;26636;29197;3000;5000;0;2000;3000;0;
47;20000;2;1;2;22;0;0;2;-1;0;0;14028;16484;15800;16341;16675;0;3000;0;16741;334;0;0;
48;150000;2;5;2;46;0;0;-1;0;0;-2;4463;3034;1170;1170;0;0;1013;1170;0;0;0;0;
51;70000;1;3;2;42;1;2;2;2;2;0;37042;36171;38355;39423;38659;39362;0;3100;2000;0;1500;1500;
53;310000;2;2;1;49;-2;-2;-2;-2;-2;-2;13465;7867;7600;11185;3544;464;7875;7600;11185;3544;464;0;
66;200000;1;1;1;57;-2;-2;-2;-1;2;2;152519;148751;144076;8174;8198;7918;0;0;8222;300;0;1000;
76;20000;1;2;2;24;0;0;2;0;0;0;14619;17216;16642;16976;17332;18543;2850;0;610;630;1500;0;
82;360000;2;1;2;26;0;0;0;0;0;-1;23411;27796;30400;33100;180000;196;4796;3400;3100;146900;196;2963;
87;360000;2;1;1;45;-1;-1;2;0;-1;-1;390;1170;780;390;390;390;1170;0;0;390;390;390;
88;160000;2;2;2;32;0;0;0;0;0;-1;3826;4751;6604;8604;7072;766;1147;2000;2000;0;766;2303;
89;130000;2;1;1;35;0;0;0;-1;-1;-1;81313;117866;17740;1330;7095;1190;40000;5000;1330;7095;1190;2090;
94;160000;2;2;1;37;-1;-1;-1;-1;-1;-2;880;1602;840;840;0;0;1602;840;840;0;0;7736;
96;90000;1;2;2;35;0;0;0;0;0;0;83725;85996;87653;35565;30942;30835;3621;3597;1179;1112;1104;1143;
98;150000;1;1;2;27;0;0;0;0;0;0;86009;86108;89006;89775;87725;40788;4031;10006;3266;4040;1698;800;
